Open,High,Low,Close,Adj Close,Volume,diff-day-1,diff-day-2,diff-day-3,diff-day-4,diff-day-5,EMA-2,EMA-3,EMA-5,EMA-7,EMA-21,EMA-50,RSI,MACD,ADX,STD,RAW-EMA-2,RAW-EMA-3,RAW-EMA-5,RAW-EMA-7,RAW-EMA-21,RAW-EMA-50,bb_width,bb_buy,bb_sell
0.6215040683746338,0.6237914562225342,0.6185057163238525,0.619809091091156,0.619809091091156,0,-0.0016949772834777832,-0.006208181381225586,-0.0029334425926208496,-0.005777418613433838,-0.0027784109115600586,-0.0009709612587377459,-0.0016717565767798703,-0.0023038137668104364,-0.002276844009993506,0.00029766932518693334,-0.0009086883068084584,0.5157144846019343,0.0010070160332320817,0.15427279957228196,0.002374572975485173,0.6207800523498938,0.6214808476679359,0.6221129048579664,0.6220859351011495,0.6195114217659691,0.6207177793979645,0.009498291901940625,-0.008071949925121946,-0.0014263419768186791
0.6196171045303345,0.6200012564659119,0.6148170828819275,0.6185821890830994,0.6185821890830994,0,-0.0012269020080566406,-0.002921879291534424,-0.0074350833892822266,-0.00416034460067749,-0.0070043206214904785,-0.0007326210889314622,-0.0014493292924182555,-0.0023538105165780143,-0.0026278095135375823,-0.0008447569844269864,-0.002051841675066446,0.5004281223443162,0.0005730477133625055,0.14658433953738595,0.00257120882476155,0.6193148101720308,0.6200315183755176,0.6209359995996774,0.621209998596637,0.6194269460675264,0.6206340307581658,0.010284835299046113,-0.008291259507433257,-0.001993575791612856
0.6186970472335815,0.6202319264411926,0.6161049604415894,0.6193100810050964,0.6193100810050964,0,0.0007278919219970703,-0.0004990100860595703,-0.0021939873695373535,-0.006707191467285156,-0.00343245267868042,-1.5763889781306162e-06,-0.0003607186852105926,-0.0010839457297205923,-0.0014249381936554117,-0.00010624096584532783,-0.0012720301549098423,0.5097132248496825,0.00031307472132382846,0.13891827008101204,0.0026659740665729765,0.6193116573940746,0.619670799690307,0.620394026734817,0.6207350191987518,0.6194163219709418,0.6205821111600063,0.010663896266291939,-0.007066407533322994,-0.0035974887329689453
0.6191950440406799,0.6210023164749146,0.6159152388572693,0.6206169128417969,0.6206169128417969,0,0.0013068318367004395,0.0020347237586975098,0.0008078217506408691,-0.0008871555328369141,-0.005400359630584717,0.0004350851492407326,0.00047305657574492344,0.00014859073798656475,-8.857976771625697e-05,0.0010914462462319197,3.3436909955719685e-05,0.5267208464705662,0.00021201987597623093,0.12996494099692177,0.0010157866815310064,0.6201818276925561,0.620143856266052,0.6204683221038103,0.6207054926095131,0.619525466595565,0.6205834759318412,0.004063146726124067,-0.0013791290004216972,-0.00268401772570237
0.6206169128417969,0.6227813363075256,0.6165988445281982,0.6223937273025513,0.6223937273025513,0,0.0017768144607543945,0.003083646297454834,0.0038115382194519043,0.0025846362113952637,0.0008896589279174805,0.0007372998699983757,0.001124935518249659,0.0012836034658273432,0.001266176019778631,0.0026075097336238917,0.0017392611208782993,0.549597939208275,0.0002453792651143325,0.12390484766209564,0.001306272934982542,0.6216564274325529,0.6212687917843016,0.6211101238367239,0.6211275512827726,0.6197862175689274,0.620654466181673,0.005225091739930132,-0.0003612188321537868,-0.004863872907776345
0.6223937273025513,0.6232082843780518,0.6185057163238525,0.6186970472335815,0.6186970472335815,0,-0.0036966800689697266,-0.001919865608215332,-0.0006130337715148926,0.00011485815048217773,-0.0011120438575744629,-0.0009864600663237466,-0.0012858722753600338,-0.0016087177354282556,-0.001822878036893294,-0.0009901548503143953,-0.0018806574207153037,0.49589169734045446,1.137323530319887e-05,0.11928337981494305,0.0014326455929379411,0.6196835072999053,0.6199829195089416,0.6203057649690098,0.6205199252704748,0.6196872020838959,0.6205777046542968,0.005730582371751725,-0.004088235445519395,-0.0016423469262323298
0.6186970472335815,0.6268806457519531,0.6178942322731018,0.6248828768730164,0.6248828768730164,0,0.0061858296394348145,0.002489149570465088,0.004265964031219482,0.005572795867919922,0.006300687789916992,0.0017331231910370226,0.002449978682037335,0.0030514079360043356,0.0032722137019061126,0.0047233407173822295,0.004136341935632504,0.5713716076844139,0.00025270748372480925,0.12306795558325302,0.0022433523866850773,0.6231497536819793,0.622432898190979,0.621831468937012,0.6216106631711102,0.6201595361556341,0.6207465349373839,0.008973409546740418,-0.0007839569515623035,-0.008189452595178115
0.6266841888427734,0.6275888085365295,0.6230141520500183,0.6242586970329285,0.6242586970329285,0,-0.0006241798400878906,0.005561649799346924,0.0018649697303771973,0.003641784191131592,0.004948616027832031,0.00036964778364967366,0.0009128994209747221,0.0016181520639443336,0.001986025396363722,0.0037265098884493586,0.003374430248660465,0.5622238789361846,0.0003441498025508037,0.1280218458833765,0.0022911084941197287,0.6238890492492788,0.6233457976119537,0.6226405449689841,0.6222726716365647,0.6205321871444791,0.620884266784268,0.009164433976478925,-0.002493372212085898,-0.006671061764393027
0.6242586970329285,0.6292870044708252,0.6232082843780518,0.6225875020027161,0.6225875020027161,0,-0.0016711950302124023,-0.002295374870300293,0.0038904547691345215,0.00019377470016479492,0.0019705891609191895,-0.00043384908218757623,-0.00037914780461889563,-3.536197751208281e-05,0.00023612277461348974,0.0018684680529427178,0.0016364416804697246,0.5374150356079819,0.00026924675591172135,0.13603462170892427,0.002155553609386867,0.6230213510849036,0.622966649807335,0.6226228639802281,0.6223513792281026,0.6207190339497733,0.6209510603222463,0.008622214437547404,-0.0042875753050163334,-0.004334639132531071
0.6225875020027161,0.6323110461235046,0.6225875020027161,0.631991446018219,0.631991446018219,0,0.00940394401550293,0.007732748985290527,0.007108569145202637,0.013294398784637451,0.009597718715667725,0.002990031644438451,0.004512398105442017,0.006245721358660528,0.007230050092587259,0.010247647334950538,0.01060742939416981,0.6350132568768341,0.0008001840308542439,0.14900509820054197,0.004327981878323421,0.6290014143737805,0.627479047912777,0.6257457246595585,0.6247613959256317,0.6217437986832685,0.6213840166240492,0.01731192751329358,-0.001148031570520125,-0.016163895942773454
